ID,Area,Feature / Surface,User Story,Expected Behaviour,Status,Test Result / Notes
US-01,Client/Auth,noid auth setup --url --token,As a new user I configure my client to talk to a noid server,Normalizes URL; saves [server] to ~/.noid/config.toml; prints config path + server URL; verifies via whoami; on failure warns + proxy hints + guidance.,PASS,"Both paths verified: success prints 'Authenticated as eusthace@gmail.com'; bad host saves config then prints clear Warning + 'Run noid current'."
US-02,Client/Auth,noid auth setup invalid URL,As a user who typos the URL I get a clear error,Rejects empty/missing-scheme/unsupported-scheme/missing-host; config not saved.,PASS,"empty->'server URL cannot be empty'; no scheme->'must include scheme'; ftp://->'unsupported URL scheme ftp'. Config dir not created."
US-03,Client/Config,noid use <name>,As a user I set the active VM for the current directory,Writes name to ./.noid-vm; prints confirmation.,PASS,"Wrote 'myvm' to .noid-vm; printed 'Active VM set to myvm'."
US-04,Client/Config,noid current,As a user I check server + active VM,Prints Server + Active VM (or none hint); errors if unconfigured.,PASS,"Showed server + 'Active VM: (none ...)' and resolved active VM after use."
US-05,Client/Auth,noid whoami,As a user I confirm my server identity,GET /v1/whoami; prints User + ID.,PASS,"User: eusthace@gmail.com / ID printed."
US-06,Client/VM,noid create <name> [--cpus] [--mem],As a user I create a microVM,Validates name; POST /v1/vms; prints created+state; 409 if exists.,PASS,"create qatest -> running in 3s; duplicate -> 'server error (409): already exists'."
US-07,Client/VM,noid create name validation,As a user I'm rejected for invalid VM names,Rejects empty/>64/leading .or-/../bad chars.,PASS,"-bad, a..b, a/b all rejected with specific messages."
US-08,Client/VM,noid destroy [name],As a user I destroy a microVM,Resolves name; DELETE; idempotent (204 for absent).,PASS (minor UX),"Destroyed qarestore. BUG-D: destroying a nonexistent VM still prints 'VM x destroyed' (misleading; idempotent 204 by design)."
US-09,Client/VM,noid list,As a user I see my microVMs,GET /v1/vms; table; 'No VMs found.' when empty.,PASS,"Table rendered for base1/base2/qatest with correct columns."
US-10,Client/VM,noid info [name],As a user I see one VM's details,GET /v1/vms/<name>; fields; 404 if missing.,PASS,"info base1 fields correct; info zzz-nope -> 'server error (404): not found'."
US-11,Client/Exec,noid exec [name] [-e] -- <cmd>,As a user I run a command in a VM,WS exec w/ HTTP fallback; stream stdout/stderr; return exit code; timeout 124; truncation warn.,PASS (post-fix),"Phase2: FAILed via BUG-A. Phase3: fixed exec wrapper. Phase4 re-test on rebuilt server: 'printf abc'->'abc' clean; 'printf http_status=%s 200'->clean (no marker); 'printf partial; exit 5'->exit 5 captured; 10x no-newline runs = 0 leaks; env/exit7/stderr/127 all correct. BUG-B (trailing-newline trim) remains by design (shell $(...) semantics)."
US-12,Client/Exec,noid exec [name] (no command),As a user exec with no command gives a console,Empty command opens interactive console with env vars.,PASS,"pty test: 'noid exec qatest' attached console and detached on exit."
US-13,Client/Exec,noid exec env validation,As a user I'm rejected for malformed env,Rejects bad format/name/count/size.,PASS,"'BADNAME'->expected KEY=VALUE; '1FOO=bar'->invalid env var name."
US-14,Client/Console,noid console [name] [-e],As a user I attach to the serial console,WS; raw mode; env inject w/ sync marker; banner; clean detach.,PASS,"pty test attached, ran echo, detached '--- Detached ---'; env -e QAVAR=hello123 -> VAL=hello123."
US-15,Client/Console,Console exit detection,As a user I detach by typing exit,Line buffer; Enter on 'exit' sends Ctrl+U and detaches; paste-aware.,PASS,"exit+Enter detached cleanly in pty tests."
US-16,Client/Checkpoint,noid checkpoint [name] [--label],As a user I snapshot a VM,POST checkpoints; prints id + optional label.,PASS,"Created abb1dba1f20a4738 (label qa-snap) and an unlabeled one."
US-17,Client/Checkpoint,noid checkpoints [name],As a user I list checkpoints,GET checkpoints; table; empty message.,PASS,"Table with id/label/created rendered."
US-18,Client/Checkpoint,noid restore [name] <id> [--as new],As a user I restore from a checkpoint,POST restore; validates new_name; prints restored.,PASS,"restore --as qarestore created running VM; exec on it worked; bad id -> 'server error (404): checkpoint not found'."
US-19,Client/Update,noid update,As a user I upgrade the noid binary,Fetch latest; up-to-date msg or download+atomic-replace+report.,PASS,"v0.2.29 -> v0.2.31 ('Updated noid ...'); re-run -> 'already up to date (v0.2.31)'."
US-20,Client/Meta,noid --version / --help,As a user I check version + usage,--version prints version; --help lists commands.,PASS,"'noid 0.2.31'; help lists all subcommands; no-subcommand prints help exit 2."
US-21,Client/Config,VM name resolution via .noid-vm,As a user I omit name when .noid-vm exists,arg>.noid-vm>error.,PASS,"Resolved 'myvm' from .noid-vm; no name+no file -> 'no VM specified ...'."
US-22,Client/Config,Not configured error,As a user who skipped setup I get guidance,Server commands error with setup hint.,PASS,"whoami/current with empty HOME -> 'not configured. Run: noid auth setup ...'."
US-23,Client/Net,API version compatibility check,As a user on mismatch I'm warned,Mismatched X-Noid-Api-Version -> incompatible error.,PASS (code+live header),"Live header 'X-Noid-Api-Version: 1' present and accepted; mismatch branch covered by api.rs logic/unit context."
US-24,Client/Net,IPv4-first + proxy handling,As a user on dual-stack/proxy I still connect,IPv4 sorted first; proxy ignored unless NOID_USE_SYSTEM_PROXY; NOID_VERBOSE logs.,PASS,"NOID_VERBOSE showed IPv4 135.181.181.126 tried before IPv6 and 'connected via' IPv4."
US-25,Server/Admin,noid-server add-user <name>,As an admin I create a user + token,Errors if exists; else token to stdout + confirmation to stderr.,PASS,"Created qa-tmp-user with noid_tok_ (64 hex); duplicate -> 'already exists'."
US-26,Server/Admin,noid-server rotate-token <name>,As an admin I rotate a token,New token; not-found error.,PASS,"Rotated token; nonexistent -> 'user not found'."
US-27,Server/Admin,noid-server list-users,As an admin I list users,Aligned columns; 'No users.' when empty.,PASS,"Listed eusthace@gmail.com with id/created."
US-28,Server/Admin,noid-server remove-user <name>,As an admin I remove a user + their VMs,Delete user + storage; not-found error.,PASS,"Removed qa-tmp-user; nonexistent -> 'user not found'."
US-29,Server/Run,noid-server serve --config,As an admin I run the server,Load config; bind; listen log; thread-per-request.,PASS,"Service active; /version returns 0.2.29; bound 127.0.0.1:7654 behind Caddy."
US-30,Server/Update,noid-server update,As an admin I upgrade the server binary,Same self-update flow as client.,PASS (code),"Not run live to avoid binary swap under running VMs; identical update.rs logic to client US-19 which passed."
